id,消耗筑基值,战士改变属性类型,战士改变属性值,法师改变属性类型,法师改变属性值,道士改变属性类型,道士改变属性值,阶数,层数图标
id,BasisVal,WarriorAttrType,WarriorAttrData,MasterAttrType,MasterAttrData,PriestAttrType,PriestAttrData,TeamID,Icon
int,int,int[],int[],int[],int[],int[],int[],int,string
1,250,1004;1005,28;40,1006;1007,28;40,1008;1009,28;40,1,yijie
2,250,1004;1005;1010;1011,28;40;17;25,1006;1007;1010;1011,28;40;17;25,1008;1009;1010;1011,28;40;17;25,1,yijie
3,250,1004;1005;1010;1011;1012;1013,28;40;17;25;17;25,1006;1007;1010;1011;1012;1013,28;40;17;25;17;25,1008;1009;1010;1011;1012;1013,28;40;17;25;17;25,1,yijie
4,350,1004;1005;1010;1011;1012;1013;1000,28;40;17;25;17;25;593,1006;1007;1010;1011;1012;1013;1000,28;40;17;25;17;25;178,1008;1009;1010;1011;1012;1013;1000,28;40;17;25;17;25;356,1,yijie
5,280,1004;1005;1010;1011;1012;1013;1000,28;40;35;51;17;25;593,1006;1007;1010;1011;1012;1013;1000,28;40;35;51;17;25;178,1008;1009;1010;1011;1012;1013;1000,28;40;35;51;17;25;356,1,yijie
6,280,1004;1005;1010;1011;1012;1013;1000,28;40;35;51;35;51;593,1006;1007;1010;1011;1012;1013;1000,28;40;35;51;35;51;178,1008;1009;1010;1011;1012;1013;1000,28;40;35;51;35;51;356,1,yijie
7,500,1004;1005;1010;1011;1012;1013;1000;1019,28;40;35;51;35;51;593;119,1006;1007;1010;1011;1012;1013;1000;1019,28;40;35;51;35;51;178;119,1008;1009;1010;1011;1012;1013;1000;1019,28;40;35;51;35;51;356;119,1,yijie
8,350,1004;1005;1010;1011;1012;1013;1000;1019,62;89;35;51;35;51;593;119,1006;1007;1010;1011;1012;1013;1000;1019,62;89;35;51;35;51;178;119,1008;1009;1010;1011;1012;1013;1000;1019,62;89;35;51;35;51;356;119,2,erjie
9,350,1004;1005;1010;1011;1012;1013;1000;1019,62;89;57;82;35;51;593;119,1006;1007;1010;1011;1012;1013;1000;1019,62;89;57;82;35;51;178;119,1008;1009;1010;1011;1012;1013;1000;1019,62;89;57;82;35;51;356;119,2,erjie
10,350,1004;1005;1010;1011;1012;1013;1000;1019,62;89;57;82;57;82;593;119,1006;1007;1010;1011;1012;1013;1000;1019,62;89;57;82;57;82;178;119,1008;1009;1010;1011;1012;1013;1000;1019,62;89;57;82;57;82;356;119,2,erjie
11,490,1004;1005;1010;1011;1012;1013;1000;1019,62;89;57;82;57;82;1317;119,1006;1007;1010;1011;1012;1013;1000;1019,62;89;57;82;57;82;395;119,1008;1009;1010;1011;1012;1013;1000;1019,62;89;57;82;57;82;790;119,2,erjie
12,390,1004;1005;1010;1011;1012;1013;1000;1019,62;89;79;113;57;82;1317;119,1006;1007;1010;1011;1012;1013;1000;1019,62;89;79;113;57;82;395;119,1008;1009;1010;1011;1012;1013;1000;1019,62;89;79;113;57;82;790;119,2,erjie
13,390,1004;1005;1010;1011;1012;1013;1000;1019,62;89;79;113;79;113;1317;119,1006;1007;1010;1011;1012;1013;1000;1019,62;89;79;113;79;113;395;119,1008;1009;1010;1011;1012;1013;1000;1019,62;89;79;113;79;113;790;119,2,erjie
