状态ID,状态名称,图标,是否在UI上显示,UI排序,buff种类,等级,叠加类型,描述,攻击解除状态,受攻击解除状态,死亡解除状态,复活解除,移动解除,自己可见,下线保存,有效类型,有效上限,作用间隔时间,结束buff,合法对象,影响范围,功能ID1,功能ID2,功能ID3,特效类型,特效ID,属性存储组

int,string,string,bool,int,int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
24001,双倍经验4小时,buff_exp,1,0,401,1,1,打怪双倍经验4小时,0,0,0,0,0,1,1,1,14400000,0,0,1,1,20011,0,0,0,0,20
24002,双倍经验8小时,buff_exp,1,0,401,2,1,打怪双倍经验8小时,0,0,0,0,0,1,1,1,28800000,0,0,1,1,20011,0,0,0,0,20
24003,三倍经验2小时,buff_exp,1,0,401,3,1,打怪三倍经验2小时,0,0,0,0,0,1,1,1,7200000,0,0,1,1,20012,0,0,0,0,20
24004,三倍经验4小时,buff_exp,1,0,401,4,1,打怪三倍经验4小时,0,0,0,0,0,1,1,1,14400000,0,0,1,1,20012,0,0,0,0,20
24005,三倍经验8小时,buff_exp,1,0,401,5,1,打怪三倍经验8小时,0,0,0,0,0,1,1,1,28800000,0,0,1,1,20012,0,0,0,0,20
24006,四倍经验2小时,buff_exp,1,0,401,6,1,打怪四倍经验2小时,0,0,0,0,0,1,1,1,7200000,0,0,1,1,20013,0,0,0,0,20
24007,四倍经验4小时,buff_exp,1,0,401,7,1,打怪四倍经验4小时,0,0,0,0,0,1,1,1,14400000,0,0,1,1,20013,0,0,0,0,20
24008,四倍经验8小时,buff_exp,1,0,401,8,1,打怪四倍经验8小时,0,0,0,0,0,1,1,1,28800000,0,0,1,1,20013,0,0,0,0,20
24009,双倍经验1小时,buff_exp,1,0,401,1,1,打怪双倍经验1小时,0,0,0,0,0,1,1,1,3600000,0,0,1,1,20011,0,0,0,0,20
24010,双倍经验2小时,buff_exp,1,0,401,1,1,打怪双倍经验2小时,0,0,0,0,0,1,1,1,7200000,0,0,1,1,20011,0,0,0,0,20
24011,三倍经验1小时,buff_exp,1,0,401,3,1,打怪三倍经验1小时,0,0,0,0,0,1,1,1,3600000,0,0,1,1,20012,0,0,0,0,20
24012,四倍经验1小时,buff_exp,1,0,401,3,1,打怪四倍经验1小时,0,0,0,0,0,1,1,1,3600000,0,0,1,1,20013,0,0,0,0,20
25001,vip双倍经验1小时,buff_vipexp,1,0,402,1,1,打怪双倍经验1小时,0,0,0,0,0,1,1,1,3600000,0,0,1,1,20011,0,0,0,0,20
25002,vip双倍经验2小时,buff_vipexp,1,0,402,2,1,打怪双倍经验2小时,0,0,0,0,0,1,1,1,7200000,0,0,1,1,20011,0,0,0,0,20
25003,vip双倍经验3小时,buff_vipexp,1,0,402,3,1,打怪双倍经验3小时,0,0,0,0,0,1,1,1,10800000,0,0,1,1,20011,0,0,0,0,20
25004,vip双倍经验4小时,buff_vipexp,1,0,402,4,1,打怪双倍经验4小时,0,0,0,0,0,1,1,1,14400000,0,0,1,1,20011,0,0,0,0,20
25005,vip三倍经验2小时,buff_vipexp,1,0,402,5,1,打怪三倍经验2小时,0,0,0,0,0,1,1,1,7200000,0,0,1,1,20012,0,0,0,0,20
25006,vip三倍经验3小时,buff_vipexp,1,0,402,6,1,打怪三倍经验3小时,0,0,0,0,0,1,1,1,10800000,0,0,1,1,20012,0,0,0,0,20
25007,vip三倍经验4小时,buff_vipexp,1,0,402,7,1,打怪三倍经验4小时,0,0,0,0,0,1,1,1,14400000,0,0,1,1,20012,0,0,0,0,20
25008,vip三倍经验5小时,buff_vipexp,1,0,402,8,1,打怪三倍经验5小时,0,0,0,0,0,1,1,1,18000000,0,0,1,1,20012,0,0,0,0,20
25009,vip四倍经验3小时,buff_vipexp,1,0,402,9,1,打怪四倍经验3小时,0,0,0,0,0,1,1,1,10800000,0,0,1,1,20013,0,0,0,0,20
25010,vip四倍经验4小时,buff_vipexp,1,0,402,10,1,打怪四倍经验4小时,0,0,0,0,0,1,1,1,14400000,0,0,1,1,20013,0,0,0,0,20
25011,vip四倍经验5小时,buff_vipexp,1,0,402,11,1,打怪四倍经验5小时,0,0,0,0,0,1,1,1,18000000,0,0,1,1,20013,0,0,0,0,20
25012,vip四倍经验6小时,buff_vipexp,1,0,402,12,1,打怪四倍经验6小时,0,0,0,0,0,1,1,1,21600000,0,0,1,1,20013,0,0,0,0,20
25101,全服双倍经验,buff_exp,1,0,400,1,1,全服打怪双倍经验,0,0,0,0,0,1,1,1,345600000,0,0,1,1,20011,0,0,0,0,20
26001,气血石（小）,buff_qixueshi,1,0,403,1,4,每5秒恢复生命值：5000<br />每5秒恢复魔法值：5000,0,0,0,0,0,1,1,4,3000000,5000,0,1,1,34001,0,0,0,21370,20
26002,气血石（中）,buff_qixueshi,1,0,403,1,4,每5秒恢复生命值：5000<br />每5秒恢复魔法值：5000,0,0,0,0,0,1,1,4,6000000,5000,0,1,1,34001,0,0,0,21370,20
26003,气血石（大）,buff_qixueshi,1,0,403,1,4,每5秒恢复生命值：5000<br />每5秒恢复魔法值：5000,0,0,0,0,0,1,1,4,10000000,5000,0,1,1,34001,0,0,0,21370,20
27001,神域雪莲,buff_attrack1,1,0,404,1,4,物理减伤：20%<br />魔法减伤：20%<br />最大生命：20%,0,0,0,0,0,1,1,1,18000000,0,0,1,1,36001,0,0,0,50027,20
27002,神域血钻,buff_attrack2,1,0,405,1,4,暴击率：20%<br />幸运：10<br />暴击值：88888,0,0,0,0,0,1,1,1,18000000,0,0,1,1,36002,0,0,0,50027,20
27003,增加攻击力,buff_attrack3,1,0,406,1,4,道术攻击力：50-100,0,0,0,0,0,1,0,1,300000,0,0,1,1,36003,0,0,0,50027,20
27004,增加生命上限,buff_hp1,1,0,407,1,2,生命上限：5%,0,0,0,0,0,1,0,1,300000,0,0,1,1,36004,0,0,0,0,20
28001,vip1,buff_vipatk,1,0,408,1,2,物理攻击力：23-80<br />法术攻击力：23-80<br />道术攻击力：23-80,0,0,0,0,0,1,0,5,0,0,0,1,1,37001,0,0,0,0,13
28002,vip2,buff_vipatk,1,0,408,2,2,物理攻击力：50-174<br />法术攻击力：50-174<br />道术攻击力：50-174,0,0,0,0,0,1,0,5,0,0,0,1,1,37002,0,0,0,0,13
28003,vip3,buff_vipatk,1,0,408,3,2,物理攻击力：82-281<br />法术攻击力：82-281<br />道术攻击力：82-281,0,0,0,0,0,1,0,5,0,0,0,1,1,37003,0,0,0,0,13
28004,vip4,buff_vipatk,1,0,408,4,2,物理攻击力：117-402<br />法术攻击力：117-402<br />道术攻击力：117-402,0,0,0,0,0,1,0,5,0,0,0,1,1,37004,0,0,0,0,13
28005,vip5,buff_vipatk,1,0,408,5,2,物理攻击力：156-536<br />法术攻击力：156-536<br />道术攻击力：156-536,0,0,0,0,0,1,0,5,0,0,0,1,1,37005,0,0,0,0,13
28006,vip6,buff_vipatk,1,0,408,6,2,物理攻击力：199-683<br />法术攻击力：199-683<br />道术攻击力：199-683,0,0,0,0,0,1,0,5,0,0,0,1,1,37006,0,0,0,0,13
28007,vip7,buff_vipatk,1,0,408,7,2,物理攻击力：246-844<br />法术攻击力：246-844<br />道术攻击力：246-844,0,0,0,0,0,1,0,5,0,0,0,1,1,37007,0,0,0,0,13
28008,vip8,buff_vipatk,1,0,408,8,2,物理攻击力：297-1018<br />法术攻击力：297-1018<br />道术攻击力：297-1018,0,0,0,0,0,1,0,5,0,0,0,1,1,37008,0,0,0,0,13
28009,vip9,buff_vipatk,1,0,408,9,2,物理攻击力：352-1206<br />法术攻击力：352-1206<br />道术攻击力：352-1206,0,0,0,0,0,1,0,5,0,0,0,1,1,37009,0,0,0,0,13
28010,vip10,buff_vipatk,1,0,408,10,2,物理攻击力：410-1407<br />法术攻击力：410-1407<br />道术攻击力：410-1407,0,0,0,0,0,1,0,5,0,0,0,1,1,37010,0,0,0,0,13
28011,vip11,buff_vipatk,1,0,408,11,2,物理攻击力：473-1622<br />法术攻击力：473-1622<br />道术攻击力：473-1622,0,0,0,0,0,1,0,5,0,0,0,1,1,37011,0,0,0,0,13
28012,vip12,buff_vipatk,1,0,408,12,2,物理攻击力：540-1850<br />法术攻击力：540-1850<br />道术攻击力：540-1850,0,0,0,0,0,1,0,5,0,0,0,1,1,37012,0,0,0,0,13
29001,1级帮会,buff_banghui,1,0,409,1,2,物理攻击力：11-33<br />法术攻击力：11-33<br />道术攻击力：11-33,0,0,0,0,0,1,0,5,0,0,0,1,1,38001,0,0,0,0,20
29002,2级帮会,buff_banghui,1,0,409,2,2,物理攻击力：16-49<br />法术攻击力：16-49<br />道术攻击力：16-49,0,0,0,0,0,1,0,5,0,0,0,1,1,38002,0,0,0,0,20
29003,3级帮会,buff_banghui,1,0,409,3,2,物理攻击力：21-65<br />法术攻击力：21-65<br />道术攻击力：21-65,0,0,0,0,0,1,0,5,0,0,0,1,1,38003,0,0,0,0,20
29004,4级帮会,buff_banghui,1,0,409,4,2,物理攻击力：26-81<br />法术攻击力：26-81<br />道术攻击力：26-81,0,0,0,0,0,1,0,5,0,0,0,1,1,38004,0,0,0,0,20
29005,5级帮会,buff_banghui,1,0,409,5,2,物理攻击力：31-97<br />法术攻击力：31-97<br />道术攻击力：31-97,0,0,0,0,0,1,0,5,0,0,0,1,1,38005,0,0,0,0,20
29006,6级帮会,buff_banghui,1,0,409,6,2,物理攻击力：36-113<br />法术攻击力：36-113<br />道术攻击力：36-113,0,0,0,0,0,1,0,5,0,0,0,1,1,38006,0,0,0,0,20
29007,7级帮会,buff_banghui,1,0,409,7,2,物理攻击力：41-129<br />法术攻击力：41-129<br />道术攻击力：41-129,0,0,0,0,0,1,0,5,0,0,0,1,1,38007,0,0,0,0,20
30001,魔法盾1级,buff_mofadun,1,0,410,1,2,百分比减少自身受到的伤害,0,0,1,0,0,1,0,1,60000,0,0,1,1,0,0,0,1,21351,20
30002,魔法盾2级,buff_mofadun,1,0,410,2,2,百分比减少自身受到的伤害,0,0,1,0,0,1,0,1,60000,0,0,1,1,0,0,0,1,21351,20
30003,魔法盾3级,buff_mofadun,1,0,410,3,2,百分比减少自身受到的伤害,0,0,1,0,0,1,0,1,60000,0,0,1,1,0,0,0,1,21351,20
30004,魔法盾4级,buff_mofadun,1,0,410,4,2,百分比减少自身受到的伤害,0,0,1,0,0,1,0,1,60000,0,0,1,1,0,0,0,1,21351,20
30005,魔法盾5级,buff_mofadun,1,0,410,5,2,百分比减少自身受到的伤害,0,0,1,0,0,1,0,1,60000,0,0,1,1,0,0,0,1,21351,20
30006,魔法盾6级,buff_mofadun,1,0,410,6,2,百分比减少自身受到的伤害,0,0,1,0,0,1,0,1,60000,0,0,1,1,0,0,0,1,21351,20
30007,魔法盾7级,buff_mofadun,1,0,410,7,2,百分比减少自身受到的伤害,0,0,1,0,0,1,0,1,60000,0,0,1,1,0,0,0,1,21351,20
30008,魔法盾8级,buff_mofadun,1,0,410,8,2,百分比减少自身受到的伤害,0,0,1,0,0,1,0,1,60000,0,0,1,1,0,0,0,1,21351,20
30009,魔法盾9级,buff_mofadun,1,0,410,9,2,百分比减少自身受到的伤害,0,0,1,0,0,1,0,1,60000,0,0,1,1,0,0,0,1,21351,20
30010,魔法盾10级,buff_mofadun,1,0,410,10,2,百分比减少自身受到的伤害,0,0,1,0,0,1,0,1,60000,0,0,1,1,0,0,0,1,21351,20
31001,施毒术1级,buff_shidu,1,0,411,1,2,一定时间内持续受到毒素伤害,0,0,1,0,0,1,0,1,30000,0,0,3,1,0,0,0,2,88000,20
31002,施毒术2级,buff_shidu,1,0,411,2,2,一定时间内持续受到毒素伤害,0,0,1,0,0,1,0,1,30000,0,0,3,1,0,0,0,2,88000,20
31003,施毒术3级,buff_shidu,1,0,411,3,2,一定时间内持续受到毒素伤害,0,0,1,0,0,1,0,1,30000,0,0,3,1,0,0,0,2,88000,20
31004,施毒术4级,buff_shidu,1,0,411,4,2,一定时间内持续受到毒素伤害,0,0,1,0,0,1,0,1,30000,0,0,3,1,0,0,0,2,88000,20
31005,施毒术5级,buff_shidu,1,0,411,5,2,一定时间内持续受到毒素伤害,0,0,1,0,0,1,0,1,30000,0,0,3,1,0,0,0,2,88000,20
31006,施毒术6级,buff_shidu,1,0,411,6,2,一定时间内持续受到毒素伤害,0,0,1,0,0,1,0,1,30000,0,0,3,1,0,0,0,2,88000,20
31007,施毒术7级,buff_shidu,1,0,411,7,2,一定时间内持续受到毒素伤害,0,0,1,0,0,1,0,1,30000,0,0,3,1,0,0,0,2,88000,20
31008,施毒术8级,buff_shidu,1,0,411,8,2,一定时间内持续受到毒素伤害,0,0,1,0,0,1,0,1,30000,0,0,3,1,0,0,0,2,88000,20
31009,施毒术9级,buff_shidu,1,0,411,9,2,一定时间内持续受到毒素伤害,0,0,1,0,0,1,0,1,30000,0,0,3,1,0,0,0,2,88000,20
31010,施毒术10级,buff_shidu,1,0,411,10,2,一定时间内持续受到毒素伤害,0,0,1,0,0,1,0,1,30000,0,0,3,1,0,0,0,2,88000,20
32001,圣甲术1级,buff_shengjia,1,0,412,1,2,一定时间内增加人物防御,0,0,1,0,0,1,0,1,60000,0,0,3,1,0,0,0,0,0,20
32002,圣甲术2级,buff_shengjia,1,0,412,2,2,一定时间内增加人物防御,0,0,1,0,0,1,0,1,60000,0,0,3,1,0,0,0,0,0,20
32003,圣甲术3级,buff_shengjia,1,0,412,3,2,一定时间内增加人物防御,0,0,1,0,0,1,0,1,60000,0,0,3,1,0,0,0,0,0,20
32004,圣甲术4级,buff_shengjia,1,0,412,4,2,一定时间内增加人物防御,0,0,1,0,0,1,0,1,60000,0,0,3,1,0,0,0,0,0,20
32005,圣甲术5级,buff_shengjia,1,0,412,5,2,一定时间内增加人物防御,0,0,1,0,0,1,0,1,60000,0,0,3,1,0,0,0,0,0,20
32006,圣甲术6级,buff_shengjia,1,0,412,6,2,一定时间内增加人物防御,0,0,1,0,0,1,0,1,60000,0,0,3,1,0,0,0,0,0,20
32007,圣甲术7级,buff_shengjia,1,0,412,7,2,一定时间内增加人物防御,0,0,1,0,0,1,0,1,60000,0,0,3,1,0,0,0,0,0,20
32008,圣甲术8级,buff_shengjia,1,0,412,8,2,一定时间内增加人物防御,0,0,1,0,0,1,0,1,60000,0,0,3,1,0,0,0,0,0,20
32009,圣甲术9级,buff_shengjia,1,0,412,9,2,一定时间内增加人物防御,0,0,1,0,0,1,0,1,60000,0,0,3,1,0,0,0,0,0,20
32010,圣甲术10级,buff_shengjia,1,0,412,10,2,一定时间内增加人物防御,0,0,1,0,0,1,0,1,60000,0,0,3,1,0,0,0,0,0,20
33001,隐身术1级,buff_yinshenshu,1,0,413,1,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,10000,0,0,2,1,0,0,0,0,88002,20
33002,隐身术2级,buff_yinshenshu,1,0,413,2,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,15000,0,0,2,1,0,0,0,0,88002,20
33003,隐身术3级,buff_yinshenshu,1,0,413,3,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,20000,0,0,2,1,0,0,0,0,88002,20
33004,隐身术4级,buff_yinshenshu,1,0,413,4,2,一定时间内人物隐身,0,0,1,0,1,1,0,1,25000,0,0,2,1,0,0,0,0,88002,20
